Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782156028,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782156029,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782156030,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782156031,1,,Aggregated,0.000000,0.000000,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2,1,6,1158.5849999974016,5.797199992230162,2311.372800002573,191.0
1782156032,1,,Aggregated,0.000000,0.000000,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2,1,6,1158.5849999974016,5.797199992230162,2311.372800002573,191.0
1782156033,1,,Aggregated,0.000000,0.000000,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2,1,6,1158.5849999974016,5.797199992230162,2311.372800002573,191.0
1782156034,1,,Aggregated,0.666667,0.333333,6,6,2300,2300,2300,2300,2300,2300,2300,2300,2300,3,2,6,773.6054666650792,3.646400000434369,2311.372800002573,134.66666666666666
1782156035,1,,Aggregated,0.666667,0.333333,6,6,2300,2300,2300,2300,2300,2300,2300,2300,2300,3,2,6,773.6054666650792,3.646400000434369,2311.372800002573,134.66666666666666
1782156036,1,,Aggregated,0.400000,0.200000,6,6,2300,2300,2300,2300,2300,2300,2300,2300,2300,4,3,4,581.3263749951147,3.646400000434369,2311.372800002573,124.25
1782156037,1,,Aggregated,0.500000,0.333333,4,6,6,2300,2300,2300,2300,2300,2300,2300,2300,5,4,4,465.6016399967484,2.7027000032830983,2311.372800002573,103.8
1782156038,1,,Aggregated,0.500000,0.333333,4,6,6,2300,2300,2300,2300,2300,2300,2300,2300,5,4,4,465.6016399967484,2.7027000032830983,2311.372800002573,103.8
1782156039,1,,Aggregated,0.500000,0.333333,4,6,6,2300,2300,2300,2300,2300,2300,2300,2300,5,4,4,465.6016399967484,2.7027000032830983,2311.372800002573,103.8
1782156040,1,,Aggregated,0.500000,0.400000,6,6,410,410,2300,2300,2300,2300,2300,2300,2300,6,4,4,457.15688332954113,2.7027000032830983,2311.372800002573,134.66666666666666
1782156041,1,,Aggregated,0.500000,0.400000,6,6,410,410,2300,2300,2300,2300,2300,2300,2300,6,4,4,457.15688332954113,2.7027000032830983,2311.372800002573,134.66666666666666
1782156042,1,,Aggregated,0.500000,0.400000,5,6,410,410,2300,2300,2300,2300,2300,2300,2300,7,5,5,392.54238571239904,2.7027000032830983,2311.372800002573,128.71428571428572
1782156043,1,,Aggregated,0.500000,0.400000,5,6,410,410,2300,2300,2300,2300,2300,2300,2300,7,5,5,392.54238571239904,2.7027000032830983,2311.372800002573,128.71428571428572
